
2026-09-02T13:30:52.2129661+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Module] TimerStress acquired JS module reference.
2026-09-02T13:30:54.6920596+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 4. GC heap: 7 MB. Working set: 257 MB.
2026-09-02T13:30:57.7026739+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Dispose] TimerStress entered. Ticks so far: 22. WebView destroyed first: False.
2026-09-02T13:30:57.7116027+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Cleanup] TimerStress completed after 22 ticks.
2026-09-02T13:30:57.7126249+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Dispose] TimerStress returned after 8 ms. Timer stopped: True. Module disposed cleanly: True.
2026-09-02T13:30:59.6922503+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 4. GC heap: 7 MB. Working set: 190 MB.
2026-09-02T13:31:03.1167607+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 4.
2026-09-02T13:31:03.1180021+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-02T13:31:03.1274760+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-02T13:31:03.1296556+05:30 | Information | HybridTearDown.Components.Pages.CallbackStress | [Cleanup] CallbackStress completed after 26 callbacks.
2026-09-02T13:31:04.2345172+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 4.
2026-09-02T13:31:04.2357763+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 5.
2026-09-02T13:31:04.2366480+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-02T13:31:04.6938317+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 5. GC heap: 6 MB. Working set: 195 MB.
2026-09-02T13:31:09.6804116+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 5. GC heap: 4 MB. Working set: 194 MB.
2026-09-02T13:31:12.1129281+05:30 | Information | HybridTearDown.Components.Pages.CallbackStress | [Cleanup] CallbackStress completed after 27 callbacks.
2026-09-02T13:31:12.1271611+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Module] TimerStress acquired JS module reference.
2026-09-02T13:31:14.6820625+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 5. GC heap: 4 MB. Working set: 190 MB.
2026-09-02T13:31:18.0772856+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Dispose] TimerStress entered. Ticks so far: 23. WebView destroyed first: False.
2026-09-02T13:31:18.0945614+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Cleanup] TimerStress completed after 23 ticks.
2026-09-02T13:31:18.0957504+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Dispose] TimerStress returned after 17 ms. Timer stopped: True. Module disposed cleanly: True.
2026-09-02T13:31:19.6881194+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 5. GC heap: 5 MB. Working set: 190 MB.
2026-09-02T13:31:23.6596419+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 5.
2026-09-02T13:31:23.6617372+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-02T13:31:23.6715868+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-02T13:31:23.6731602+05:30 | Information | HybridTearDown.Components.Pages.CallbackStress | [Cleanup] CallbackStress completed after 27 callbacks.
2026-09-02T13:31:24.6678315+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 5.
2026-09-02T13:31:24.6694483+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 6.
2026-09-02T13:31:24.6704716+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-02T13:31:24.6838217+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 6. GC heap: 3 MB. Working set: 192 MB.
2026-09-02T13:31:27.0370528+05:30 | Information | Lifecycle | Window deactivated.
2026-09-02T13:31:28.3132484+05:30 | Information | Lifecycle | Window resumed.
2026-09-02T13:31:28.3143359+05:30 | Information | Lifecycle | Window activated.
2026-09-02T13:31:28.7144156+05:30 | Information | Lifecycle | Window deactivated.
2026-09-02T13:31:29.6875306+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 6. GC heap: 4 MB. Working set: 178 MB.
2026-09-02T13:31:34.6827740+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 6. GC heap: 4 MB. Working set: 176 MB.
2026-09-02T13:31:39.6927762+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 6. GC heap: 4 MB. Working set: 166 MB.
2026-09-02T13:31:44.6839819+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 6. GC heap: 3 MB. Working set: 165 MB.
2026-09-02T13:31:49.6860663+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 6. GC heap: 3 MB. Working set: 165 MB.
2026-09-02T13:31:51.6567125+05:30 | Information | Lifecycle | Window resumed.
2026-09-02T13:31:51.6577278+05:30 | Information | Lifecycle | Window activated.
2026-09-02T13:31:51.6678767+05:30 | Information | Lifecycle | Window deactivated.
2026-09-02T13:31:51.9162921+05:30 | Information | Lifecycle | Window resumed.
2026-09-02T13:31:51.9170399+05:30 | Information | Lifecycle | Window activated.
2026-09-02T13:31:54.0728131+05:30 | Information | Lifecycle | Window deactivated.
2026-09-02T13:31:54.6792025+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 6. GC heap: 3 MB. Working set: 166 MB.
2026-09-02T13:31:59.6819167+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 6. GC heap: 3 MB. Working set: 166 MB.
