2026-09-02T10:16:10.6631845+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-02T10:16:11.9156758+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 3. GC heap: 7 MB. Working set: 268 MB.
2026-09-02T10:16:12.7285185+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Module] TimerStress acquired JS module reference.
2026-09-02T10:16:16.9102573+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 3. GC heap: 7 MB. Working set: 269 MB.
2026-09-02T10:16:17.8277290+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 3.
2026-09-02T10:16:17.8294430+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-02T10:16:17.8393014+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-02T10:16:17.8431941+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Dispose] TimerStress entered. Ticks so far: 20. WebView destroyed first: True.
2026-09-02T10:16:17.8758005+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Cleanup] TimerStress completed after 20 ticks.
2026-09-02T10:16:17.8772236+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Dispose] TimerStress returned after 32 ms. Timer stopped: True. Module disposed cleanly: True.
2026-09-02T10:16:19.1981712+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 3.
2026-09-02T10:16:19.2009668+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 4.
2026-09-02T10:16:19.2025664+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-02T10:16:21.9093933+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 4. GC heap: 9 MB. Working set: 276 MB.
2026-09-02T10:16:24.0547301+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 4.
2026-09-02T10:16:24.0583739+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-02T10:16:24.0768090+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-02T10:16:24.0833883+05:30 | Information | HybridTearDown.Components.Pages.CallbackStress | [Cleanup] CallbackStress completed after 12 callbacks.
2026-09-02T10:16:25.2841517+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 4.
2026-09-02T10:16:25.2854020+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 5.
2026-09-02T10:16:25.2861563+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-02T10:16:26.6834684+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Module] ModuleLoop acquired JS module reference.
2026-09-02T10:16:26.9041583+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 5. GC heap: 6 MB. Working set: 278 MB.
2026-09-02T10:16:29.9657152+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 5.
2026-09-02T10:16:29.9692619+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-02T10:16:29.9937099+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-02T10:16:29.9966415+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop entered. Calls so far: 31. Module reference live: True. WebView destroyed first: True.
2026-09-02T10:16:30.0016069+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Cleanup] ModuleLoop completed after 31 calls.
2026-09-02T10:16:30.0027663+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop returned after 4 ms. Loop stopped: True. Module disposed cleanly: True.
2026-09-02T10:16:31.1173550+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 5.
2026-09-02T10:16:31.1201753+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 6.
2026-09-02T10:16:31.1223087+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-02T10:16:31.9065258+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 6. GC heap: 7 MB. Working set: 277 MB.
2026-09-02T10:16:33.8920449+05:30 | Information | HybridTearDown.Components.Pages.SlowCall | [SlowCall] Started 15-second operation. State: in flight.
2026-09-02T10:16:36.5107467+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 6.
2026-09-02T10:16:36.5132329+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-02T10:16:36.5254115+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-02T10:16:36.5282185+05:30 | Information | HybridTearDown.Components.Pages.SlowCall | [Dispose] SlowCall entered. Call state: in flight. WebView destroyed first: True.
2026-09-02T10:16:36.5315099+05:30 | Information | HybridTearDown.Components.Pages.SlowCall | [Cleanup] SlowCall completed. Call state: in flight.
2026-09-02T10:16:36.5329907+05:30 | Information | HybridTearDown.Components.Pages.SlowCall | [Dispose] SlowCall returned after 3 ms. Was in flight at disposal: True. Module disposed cleanly: True.
2026-09-02T10:16:36.9137546+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 6. GC heap: 7 MB. Working set: 276 MB.
2026-09-02T10:16:37.8714160+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 6.
2026-09-02T10:16:37.8734976+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 7.
2026-09-02T10:16:37.8748988+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-02T10:16:39.6226686+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Module] TimerStress acquired JS module reference.
2026-09-02T10:16:41.9092354+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 7. GC heap: 11 MB. Working set: 278 MB.
2026-09-02T10:16:42.2927587+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 7.
2026-09-02T10:16:42.2950718+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-02T10:16:42.3150102+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-02T10:16:42.3191489+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Dispose] TimerStress entered. Ticks so far: 11. WebView destroyed first: True.
2026-09-02T10:16:42.3229812+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Cleanup] TimerStress completed after 11 ticks.
2026-09-02T10:16:42.3244904+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Dispose] TimerStress returned after 3 ms. Timer stopped: True. Module disposed cleanly: True.
2026-09-02T10:16:43.3171356+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 7.
2026-09-02T10:16:43.3192473+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 8.
2026-09-02T10:16:43.3201497+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-02T10:16:46.9089302+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 8. GC heap: 8 MB. Working set: 276 MB.
2026-09-02T10:16:47.0934875+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 8.
2026-09-02T10:16:47.0969104+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-02T10:16:47.1118684+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-02T10:16:47.1138883+05:30 | Information | HybridTearDown.Components.Pages.CallbackStress | [Cleanup] CallbackStress completed after 8 callbacks.
2026-09-02T10:16:48.1905010+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 8.
2026-09-02T10:16:48.1919116+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 9.
2026-09-02T10:16:48.1928171+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-02T10:16:49.6776933+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Module] ModuleLoop acquired JS module reference.
2026-09-02T10:16:51.9106138+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 9. GC heap: 8 MB. Working set: 277 MB.
2026-09-02T10:16:52.5224676+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 9.
2026-09-02T10:16:52.5235805+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-02T10:16:52.5333791+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-02T10:16:52.5344773+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop entered. Calls so far: 27. Module reference live: True. WebView destroyed first: True.
2026-09-02T10:16:52.5358683+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Cleanup] ModuleLoop completed after 27 calls.
2026-09-02T10:16:52.5365027+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop returned after 1 ms. Loop stopped: True. Module disposed cleanly: True.
2026-09-02T10:16:53.9876847+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 9.
2026-09-02T10:16:53.9887696+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 10.
2026-09-02T10:16:53.9893223+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-02T10:16:56.5645668+05:30 | Information | HybridTearDown.Components.Pages.SlowCall | [SlowCall] Started 15-second operation. State: in flight.
2026-09-02T10:16:56.9137668+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 10. GC heap: 12 MB. Working set: 280 MB.
2026-09-02T10:16:59.8621190+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 10.
