2026-09-07T09:38:12.8235726+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Module] ModuleLoop acquired JS module reference.
2026-09-07T09:38:13.8357074+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 7. GC heap: 12 MB. Working set: 277 MB.
2026-09-07T09:38:15.8245400+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 7.
2026-09-07T09:38:15.8259556+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-07T09:38:15.8360694+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-07T09:38:15.8378142+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop entered. Calls so far: 28. Module reference live: True. WebView destroyed first: True.
2026-09-07T09:38:15.8399682+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Cleanup] ModuleLoop completed after 28 calls.
2026-09-07T09:38:15.8406068+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop returned after 2 ms. Loop stopped: True. Module disposed cleanly: True.
2026-09-07T09:38:17.3133888+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 8.
2026-09-07T09:38:17.3145620+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 8.
2026-09-07T09:38:17.3152756+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-07T09:38:18.8344713+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 8. GC heap: 6 MB. Working set: 276 MB.
2026-09-07T09:38:19.0203041+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Module] ModuleLoop acquired JS module reference.
2026-09-07T09:38:22.2981479+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 8.
2026-09-07T09:38:22.2993044+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-07T09:38:22.3138584+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-07T09:38:22.3159198+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop entered. Calls so far: 31. Module reference live: True. WebView destroyed first: True.
2026-09-07T09:38:22.3184305+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Cleanup] ModuleLoop completed after 31 calls.
2026-09-07T09:38:22.3193713+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop returned after 2 ms. Loop stopped: True. Module disposed cleanly: True.
2026-09-07T09:38:23.3492923+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 9.
2026-09-07T09:38:23.3501564+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 9.
2026-09-07T09:38:23.3506406+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-07T09:38:23.8297405+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 9. GC heap: 5 MB. Working set: 272 MB.
2026-09-07T09:38:24.6312888+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Module] ModuleLoop acquired JS module reference.
2026-09-07T09:38:28.6874886+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 9.
2026-09-07T09:38:28.6882833+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-07T09:38:28.6993175+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
